year,"    Less than $50,000","    $50,000 to $99,999","    $100,000 to $149,999","    $150,000 to $199,999","    $200,000 to $299,999","    $300,000 to $499,999","    $500,000 to $999,999","    $1,000,000 or more"
2011,60,62,65,99,336,1297,3334,433
2022,57,0,130,12,89,205,1973,3759
