RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024
268134,584,Echo Park,neighborhood,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,190692.068422806,191253.606708349,192386.966139258,194939.541095429,198411.508809972,202307.742942775,205919.18548623,209608.397014486,212230.328306472,214224.501216123,216006.363986163,218488.245948146,221142.622320221,223780.483464824,226277.362636976,230019.574634164,232589.130289818,234865.853124274,235906.77825752,237259.045137819,238924.111359747,240205.53677594,241930.357684578,243427.174400689,245578.627249755,248504.248197899,252907.59366856,258454.282489637,264844.100156961,270371.828721288,277093.320767284,283771.932180482,291108.78185247,297421.371415686,303549.780659791,310702.134634122,316745.217447087,321971.757275927,326685.449917456,331438.527097838,337712.036546109,343898.413556724,351634.501198129,359776.594693779,367854.823434882,374444.340632547,380657.303778935,387088.504071797,394834.778744034,402795.750425556,412220.109172204,424334.622551352,438408.934861295,452988.604171271,465438.097027879,476683.196392285,487276.047391609,498389.120900096,507137.631932617,514443.520697223,518826.753547754,525915.484320032,533340.484413154,543542.480636139,552725.980938267,562001.456296071,571006.872846578,580687.714435346,590611.467999491,603522.844192583,613861.063659196,622643.872559683,627871.001789017,632192.145573058,636549.463588048,638334.229538853,642540.10420695,645763.090122383,649251.748285169,650976.936026368,651542.435280581,652759.503484494,652851.552564549,655667.104391644,658147.538941588,660221.314990547,659662.160245313,659629.21369931,658480.51491522,656450.083071963,652388.738115413,647510.9705441,641885.148180136,635260.411280062,628578.936070618,620984.075703582,613348.770918592,604438.872221262,592960.345328901,579422.747829527,564862.931271454,552985.280500864,541700.010173932,532125.104607763,524760.738472053,516582.658267851,508495.041480473,497488.940384035,488395.283601863,481400.877348365,476784.95544343,474647.986241999,474023.136896463,469439.011004132,462608.95989071,457088.336212235,454418.000442754,456073.425512035,455481.488278881,459680.455619669,460592.244318665,461325.488982581,461051.26609819,459728.48410211,458622.748072047,454692.538705343,451438.466512309,445912.488532779,436275.412082518,426188.86599642,418514.624432129,417448.551221532,418761.086610433,420887.670504342,420709.47100803,421451.115270726,419802.682304727,421636.722891765,422355.541028469,418885.344694032,412923.205922144,405974.847258587,405540.711049293,405391.502644621,406298.744382504,404795.814661088,401823.675050558,398228.465588004,396469.887779493,397075.945686062,398054.42489282,403937.917542165,414412.535391283,429277.512977563,445142.495917542,459440.760497767,468675.190902182,471107.069608679,469165.146824555,470033.67852641,475116.973049164,484137.996942285,492915.584004516,502540.088502686,514555.61511633,529124.465250803,542724.920224752,553540.570495762,556767.321598738,556210.971306179,552103.543399428,552786.353694122,554794.371186212,557601.163886482,559250.258059671,562880.595669615,572319.254472235,586940.885445006,605119.702855247,620350.881715398,629753.90973187,632765.389369828,631771.01114377,631784.327974551,633023.144429712,636160.988504016,631612.099276359,622326.931214495,610724.921516427,604417.595633214,599850.824091727,596193.108763951,600082.408048312,614430.140110736,634567.657852449,652728.842295757,664383.849082751,673166.945549972,667144.684629925,652444.157827836,634149.164037086,626044.290274235,627365.82221654,633289.568671048,647847.729704262,667007.292303874,689058.711279842,708076.39163087,723463.597385063,735978.286880167,733241.252593659,723827.088367999,711895.769963622,711160.479702966,713639.323232289,716412.277571636,727758.342837352,748603.940446916,777112.304925088,802155.837199006,823014.019221967,836533.296200413,845943.763051876,858186.247541099,874994.70525908,895929.67218672,909651.471545712,915895.243403653,908741.634546635,892134.104219859,872504.130233477,855364.822121506,844505.300229652,836975.049418123,838375.84581067,847567.069584508,862234.958005112,876791.36198482,889628.517330616,902101.87772954,910398.17938661,913698.913086765,914211.637519601,912328.389446498,905963.564510099,894300.286322518,889462.686962626,894869.840479918,913140.82651699,934188.954643188,956513.860085511,974377.879698896,979870.002912687,976895.30400086,970044.85053467,972589.658917704,981927.203763154,993142.262756067,1008042.60180058,1023133.14004853,1040263.49848848,1055014.40054371,1069542.49183518,1082887.87230383,1089877.05488215,1091354.57852267,1090865.30748922,1090924.43928835,1094268.98423854,1097228.91969331,1103371.7622527,1104926.63590563,1103986.85927847,1099629.97614529,1098773.17632326,1098778.89204777,1092389.17560857,1076653.46285896,1056329.78237333,1041284.47723481,1035087.71427563,1036797.61671319,1044732.51328843,1056602.32026375,1068626.16767853,1078694.22093498,1084271.0525294,1086871.4111566,1081539.9287071,1071759.402616,1061323.9747719,1055535.58610583,1053022.53101988,1049645.58388907,1048622.96964207,1051086.75393196,1056581.8771904,1060111.66012855
276023,92,Westlake,neighborhood,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,144059.920156817,144504.379468993,145340.570914747,146877.996689953,149379.407493287,152117.033635885,154741.965573651,156368.197106054,157096.256352912,157561.257017683,157735.028528495,157414.342629297,156556.579093684,155720.408822896,155594.613608904,157326.136784926,159219.505039014,161516.367848996,163098.483181822,165853.533470427,169642.064467845,173853.939341667,177101.446225381,180105.483132453,182072.675879548,184802.612593904,187443.254055361,191200.305831605,195483.447702991,199165.856938541,203474.565900495,206982.749367188,211398.942456844,215577.407419509,220347.495298674,223879.701134606,225252.223771839,226040.305322168,227571.475402129,230126.406601999,233550.729519492,237549.900353629,242610.587376587,246909.528255552,250126.1756417,252588.312657399,256335.519553385,261778.723896342,269777.060353032,278535.60122381,288257.639756629,298007.77273225,308702.427848871,319346.293183275,329391.867019753,338297.168147882,348188.72502379,357210.135926428,364189.397791574,368915.152955171,371919.850192357,376712.380373924,381309.461798195,387421.443116485,394299.463323853,402708.547922784,413357.395387263,423335.254912267,434101.009469292,444687.094616172,456049.700619094,466735.736667287,475797.40965079,480842.288259717,484616.859607672,489496.186025259,496474.756224784,503296.167060536,507129.268836036,511596.921188225,514039.783779848,517774.447673894,519620.05645694,522311.779782479,523169.623972443,522731.247527814,520610.829932462,518871.826070705,516047.185949567,512906.655496725,507135.689240911,500994.046304134,495451.974196797,491051.517732672,487833.067199891,483194.292540028,479147.297630686,474033.312502649,466455.124318224,456806.569916401,446014.775174681,437276.104669038,429361.645738066,422575.400998607,417158.95116676,411634.146960759,406327.878079415,398730.876830344,389052.759528273,380944.279919828,375063.436989236,370712.989359225,366093.291013711,362319.527330806,358719.00677963,354527.146378437,347398.332785318,340433.184104619,334240.60645366,332150.580574157,332613.032910712,332351.568981137,331823.771221152,330528.712614184,329589.417435314,325635.670549139,320240.745247799,313650.815815492,307634.887468428,302684.840072774,298628.010171513,295945.36837948,294332.471189419,294166.833388355,293613.359370207,292555.737669976,290287.851461717,289715.154847727,289941.508388163,289521.498794794,287060.77282405,283270.214088666,281144.79708731,280724.543122788,282822.487357443,283696.985369953,282305.89798887,278575.822251265,276064.292041205,275723.23465528,277695.493234511,283748.028715567,292543.189263589,301883.961689293,310977.64570471,318986.30293593,325703.014636863,329719.269563342,332653.568734643,336680.303789096,343404.399867924,351707.638016513,360898.411546157,370410.876606072,381207.727311035,392777.403766413,402536.783470536,410712.210036182,414349.157285132,416190.076949422,416322.316460817,418304.198174761,421251.53740782,423195.734375093,425681.311514812,430463.018955688,440184.097412019,451629.423510165,462919.466594673,472263.549761792,477981.744215218,480878.005971795,481439.22502131,483428.565382384,485972.175177171,487885.784840164,486252.204028533,482489.213374696,478517.576694,476317.016157252,474406.866710103,473631.643590188,476952.516255327,485974.851763421,497380.306862863,508454.516285808,516148.101944231,521692.927292095,518383.274445462,510016.69659944,500299.31472384,496311.618376262,497462.199301885,501411.838334736,511293.146777231,525656.74697352,542410.23514208,557514.235249217,569137.483412956,577887.691607983,576881.827580897,572295.859358436,566869.944134335,568232.968732972,571286.194434157,573787.441141646,580520.632556503,593009.406708578,610828.207457713,625910.316459544,637314.102017437,644403.383603413,651402.373504558,660375.16037,671266.710046587,684037.663731131,692857.595689919,697490.896626764,691931.299877155,679597.553076842,664825.957034309,652504.729081567,644244.87116005,639304.027105611,639704.131940013,645453.72192634,654262.283468485,665260.902373089,675134.423554585,684894.857473307,689839.700111999,691184.581200949,691106.01349941,690580.753627822,688554.055640269,683026.22392115,681516.270817061,686167.363245506,698580.150680151,713078.920843663,728542.956741064,741456.115966754,745820.865378212,743842.922255316,738545.232328742,738748.185600042,742148.378658975,746206.404427029,750048.377392236,753557.722114943,756314.253898658,759929.666391705,765620.132914234,773700.015944479,781248.756706837,787115.600991576,792640.686254928,797039.852671099,801615.699922028,804832.752418004,809200.85189082,811082.855755196,812455.462076869,811958.474290167,813669.925870479,815115.456879732,810763.255780755,799581.148040214,788743.783090256,782322.698327868,780786.750381146,780492.967143671,784266.687886741,791355.998483533,799099.753207275,804616.271761257,807506.558531072,807186.802693099,801023.64797893,789644.857336588,779305.832817478,773010.962871297,771159.549690313,767980.419296902,767518.611649879,770233.017404764,776500.193685495,781777.148002395
276257,2188,Chinatown,neighborhood,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599288.10006647,599561.13690908,599104.223165135,596971.591947604,594249.884124106,596361.730869614,603443.869893624,617198.768030736,630403.566533431,643130.311475189,653011.124786209,655826.23466109,654940.507305966,651993.339774241,655680.235580545,663941.889609478,671731.000629805,676963.431793099,679480.722775893,682038.067038622,686737.311398103,693728.821784171,702035.222202487,710771.554852482,716600.698073088,721030.181124255,722282.937908416,725570.36879884,729370.516192945,736542.170455789,740655.996416659,744247.75830958,744579.749778928,746884.626773799,748153.353699668,745080.99637624,736926.765276909,729161.748349667,726861.365267677,728398.126782552,732854.828289732,739576.569839492,749173.305498398,755483.361548945,759449.09770169,761520.556769499,762860.605265336,758059.303621405,748933.595305361,742267.318820983,741492.953846864,745389.937018681,746931.335542102,749097.611589454,749485.332199892,751084.828304813,750964.616395801
403191,3753,Elysian Valley,neighborhood,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,126331.300329926,126252.192628664,126965.901191845,128034.157075654,129523.008411816,130503.349916995,131554.146278578,132806.496273194,134678.531249653,137398.380846606,140557.58833714,143317.968893797,145311.987754235,147048.544047156,148407.958664944,150090.666831047,151079.650442931,152638.548135296,153836.481305994,154215.250519654,153966.004644482,153206.650335824,153416.229513913,154165.9242862,154948.751799868,156044.376284238,157658.807120278,159854.563403064,162669.654049805,165009.897166256,167301.702974956,169429.842024546,171812.002913765,174326.118862577,176531.86415603,178935.478907274,181324.931173147,183575.732394819,186886.05998527,189761.066510055,193039.864250676,195274.751825715,198868.414798403,201699.275082869,204482.662670336,206582.430002036,209789.246610971,213151.2604544,217179.636633725,221747.255123156,226843.487341482,232628.964782645,239534.740744201,248445.480349316,256119.897622071,263080.756867236,269132.745921364,276342.509410219,282250.581849377,288024.06742996,292178.590891807,297095.053814822,301621.147458615,307390.114769775,312893.70974948,318665.067367928,325753.882529555,334052.654015213,342079.113711772,350411.213214589,357300.577449719,362448.116412858,366294.412425357,369083.217354502,372081.720790496,373792.183236971,376375.423151598,379279.576427664,381389.735477767,382320.302716511,381379.63047284,379970.092670621,379316.689174729,381294.468236969,383912.522261505,385684.385668691,385649.706885065,385843.403542194,385442.210107696,383714.818488378,381579.53151848,381082.923557487,380521.027870156,378987.684086187,376167.044886757,372926.485276562,370261.60304327,366188.795268952,360068.971219956,352239.724762637,345026.474894452,339264.647021901,332811.286658117,325126.08033903,317663.94468979,308883.008395739,299653.192628406,289624.752101718,283969.697657768,280975.324016395,280654.254204086,280034.171077387,278475.362906494,277237.37973499,276692.276248729,277521.478747865,276799.946003697,273363.747751645,269864.889820473,267222.01622946,265785.862125456,265033.798711237,266255.545509508,266960.093177267,267736.280746251,265841.239159833,265979.19742044,264108.246174342,262221.688056914,257672.378234475,254274.122252188,253367.515794786,254961.22320887,257427.084052826,257751.909311622,257986.98977535,257210.81622902,257602.814576957,257705.784923029,256142.441865478,254215.437493043,252910.565548668,253406.881569916,253875.53095292,253530.070439157,252556.036523979,250566.71786109,248755.63701493,247421.847471363,248029.172229062,250777.847265038,256249.165090766,263687.042662459,271727.097321307,280487.479642655,289391.782642448,295480.282687089,298881.439114163,298721.714333918,298989.614270098,300449.495178476,304532.319213002,310981.921326095,319402.17386784,329751.660552929,340987.590543512,351038.093301443,359296.54930611,361696.944673756,360102.294976276,355573.470347192,354211.573483067,355075.696082606,357339.99474371,360327.022107324,365352.941273469,374149.645713925,385154.911208656,395911.059884659,404119.095363241,408039.866037506,409063.753337513,407869.366903424,407666.64120054,408858.818325635,411325.194877773,411676.060593366,409037.585038144,404644.9626467,401254.541825715,398186.448570931,396194.74224365,400113.115379317,411643.071362959,427150.021205191,440753.678124328,450016.198600558,456286.296477423,453857.238647429,446608.338669605,436986.768184093,432159.485171326,432267.065506337,435214.324405184,443530.030464422,455550.513802174,469981.206064299,482653.816101013,491700.535267994,498997.935169118,499120.4170232,496062.700558872,491040.961638639,492665.539496543,496669.315953376,502282.41568189,510108.950543971,522983.694471034,539305.045947281,554807.91129463,567372.822211253,575721.084113752,583917.153893214,596437.754574411,613509.040693624,631047.420289687,643955.208460846,651589.634825311,648863.659416663,637810.375855043,625307.507811292,616357.654568412,612512.388505647,610101.992412809,614302.153198505,623749.166622404,637169.48683126,649321.537828588,660382.410797755,669946.236128468,674955.80211027,674946.56722152,673073.430230216,672646.319312148,669697.98507602,662549.368808826,659336.989793172,664141.061618098,679349.93945535,695557.358823181,710818.669472094,722179.526328739,725277.402074419,724589.949262994,721705.387165949,726195.299088231,736186.523623557,747834.220582371,764436.009208313,781627.429957909,799462.352957723,813831.379564381,825634.864180725,836798.994803291,843979.524473562,848507.96438096,851194.361725295,854061.520389052,858792.093996667,862506.769657135,865534.157586386,863971.466690656,860011.335205418,855013.148316833,852545.559866419,852949.670005342,847837.780309739,836755.383094013,824348.704585258,817144.185996561,816588.18772835,820040.54914207,830544.592618309,847004.817616099,864431.613601559,880599.017129698,894796.168897306,905985.096439507,905547.200773511,896840.733296827,888511.086664541,886638.960802842,887592.410553443,886958.746477023,889253.384582704,895722.399127894,904940.1238014,912225.100036155
