Summary Level,State code,County Code,Place code,Place Type,Census Tract ,Description of area,Total Population,Total Population: Hispanic or Latino,"Total Population: White alone, not Hispanic or Latino","Total Population: Black or African American alone, not Hispanic or Latino","Total Population: American Indian and Alaska Native alone, not Hispanic or Latino","Total Population: Asian alone, not Hispanic or Latino","Total Population: Native Hawaiian and Other Pacific Islander alone, not Hispanic or Latino","Total Population: Some Other Race alone, not Hispanic or Latino","Total Population: Two or More Races, not Hispanic or Latino",Total Housing Units,Occupied Housing Units,Vacant Housing Units,PERCENT_HISP,PERCENT_WHITE
155,6,109,48641,U1,,Mono Vista CDP,3127,300,2639,4,45,33,6,1,99,1471,1211,260,0.095938599,0.843939878
155,6,109,56870,U1,,Phoenix Lake CDP,4269,305,3781,15,33,49,3,4,79,1960,1764,196,0.071445303,0.885687515
155,6,109,57244,U2,,Pine Mountain Lake CDP,2796,183,2475,10,20,23,7,1,77,3048,1346,1702,0.065450644,0.885193133
155,6,109,71834,U1,,Sierra Village CDP,456,36,399,1,7,3,1,0,9,548,221,327,0.078947368,0.875
155,6,109,72674,C1,,Sonora city,4903,542,4037,23,61,73,11,10,146,2463,2199,264,0.110544565,0.823373445
155,6,109,72772,U1,,Soulsbyville CDP,2215,206,1904,1,30,10,2,2,60,959,871,88,0.093002257,0.859593679
155,6,109,75322,U1,,Strawberry CDP,86,7,79,0,0,0,0,0,0,304,47,257,0.081395349,0.918604651
155,6,109,80763,U1,,Tuolumne City CDP,1779,206,1438,7,59,12,1,4,52,840,758,82,0.115795391,0.80831928
155,6,109,80896,U1,,Tuttletown CDP,668,48,580,5,14,5,0,0,16,344,293,51,0.071856287,0.868263473
155,6,109,80966,U1,,Twain Harte CDP,2226,171,1936,5,31,30,3,2,48,2148,1014,1134,0.076819407,0.869721473
50,6,111,,,,Ventura County,823318,331567,400868,13082,2389,54099,1353,1371,18589,281695,266920,14775,0.402720456,0.486893278
140,6,111,,,100,Census Tract 1,819,123,663,1,1,10,2,0,19,623,372,251,0.15018315,0.80952381
140,6,111,,,200,Census Tract 2,2822,2421,325,23,6,14,0,1,32,762,703,59,0.857902197,0.115166549
140,6,111,,,302,Census Tract 3.02,6786,4655,1932,25,28,60,2,7,77,2360,2167,193,0.685971117,0.284703802
140,6,111,,,303,Census Tract 3.03,5103,3587,1355,15,15,59,8,20,44,1407,1359,48,0.702919851,0.26553008
140,6,111,,,304,Census Tract 3.04,4777,3779,924,8,9,18,0,2,37,1237,1173,64,0.791082269,0.193426837
140,6,111,,,400,Census Tract 4,6758,5152,1504,10,17,29,1,11,34,1801,1724,77,0.762355727,0.222551051
140,6,111,,,500,Census Tract 5,1867,1225,597,3,3,21,0,0,18,642,608,34,0.656132833,0.319764328
140,6,111,,,600,Census Tract 6,6141,5490,529,22,20,36,9,2,33,1851,1744,107,0.893991207,0.086142322
140,6,111,,,701,Census Tract 7.01,6441,5568,757,10,32,47,0,3,24,1749,1672,77,0.86446204,0.117528334
140,6,111,,,702,Census Tract 7.02,3065,2410,603,6,11,16,2,0,17,895,863,32,0.7862969,0.196737357
140,6,111,,,800,Census Tract 8,7788,5050,2521,47,31,57,3,8,71,2636,2492,144,0.648433487,0.323703133
140,6,111,,,901,Census Tract 9.01,2541,243,2195,11,6,41,0,4,41,1263,1113,150,0.095631641,0.863833137
140,6,111,,,902,Census Tract 9.02,2026,315,1632,12,9,22,2,4,30,974,870,104,0.155478776,0.805528134
140,6,111,,,903,Census Tract 9.03,5865,1161,4419,30,18,120,0,8,109,2437,2224,213,0.197953964,0.753452685
