Summary Level,State code,County Code,Place code,Place Type,Census Tract ,Description of area,Total Population,Total Population: Hispanic or Latino,"Total Population: White alone, not Hispanic or Latino","Total Population: Black or African American alone, not Hispanic or Latino","Total Population: American Indian and Alaska Native alone, not Hispanic or Latino","Total Population: Asian alone, not Hispanic or Latino","Total Population: Native Hawaiian and Other Pacific Islander alone, not Hispanic or Latino","Total Population: Some Other Race alone, not Hispanic or Latino","Total Population: Two or More Races, not Hispanic or Latino",Total Housing Units,Occupied Housing Units,Vacant Housing Units,PERCENT_HISP,PERCENT_WHITE
140,6,1,,,430800,Census Tract 4308,5394,1011,3008,169,17,954,27,10,198,2214,2097,117,0.187430478,0.557656656
140,6,1,,,430900,Census Tract 4309,4681,1259,1977,412,23,700,71,14,225,1899,1785,114,0.268959624,0.422345653
140,6,1,,,431000,Census Tract 4310,2714,616,1274,177,7,509,12,7,112,1231,1158,73,0.22697126,0.469417833
140,6,1,,,431100,Census Tract 4311,3225,895,1302,445,8,367,44,10,154,1390,1295,95,0.27751938,0.40372093
140,6,1,,,431200,Census Tract 4312,5627,1316,2778,613,17,633,56,6,208,2691,2531,160,0.233872401,0.493691132
140,6,1,,,432100,Census Tract 4321,3770,858,1716,524,14,459,12,10,177,1498,1439,59,0.227586207,0.455172414
140,6,1,,,432200,Census Tract 4322,4080,1007,1643,831,8,414,12,11,154,1784,1681,103,0.246813725,0.402696078
140,6,1,,,432300,Census Tract 4323,4656,1655,1008,493,24,1310,16,16,134,1728,1620,108,0.355455326,0.216494845
140,6,1,,,432400,Census Tract 4324,5814,2173,1392,467,25,1492,51,15,199,1923,1822,101,0.37375301,0.239422085
140,6,1,,,432501,Census Tract 4325.01,4839,1762,963,277,16,1649,45,8,119,1517,1462,55,0.364124819,0.19900806
140,6,1,,,432502,Census Tract 4325.02,4485,1443,630,529,17,1698,35,9,124,1466,1398,68,0.32173913,0.140468227
140,6,1,,,432600,Census Tract 4326,6842,2068,1783,1335,31,1343,58,14,210,3073,2867,206,0.302250804,0.260596317
140,6,1,,,432700,Census Tract 4327,2478,526,1186,244,11,404,6,11,90,1080,1013,67,0.212267958,0.478611784
140,6,1,,,432800,Census Tract 4328,3729,766,1546,432,3,805,29,8,140,1497,1425,72,0.205417002,0.414588361
140,6,1,,,433000,Census Tract 4330,3832,1086,1373,316,11,896,22,15,113,1478,1412,66,0.283402923,0.358298539
140,6,1,,,433102,Census Tract 4331.02,3989,1141,874,358,3,1472,38,16,87,1386,1333,53,0.286036601,0.219102532
140,6,1,,,433103,Census Tract 4331.03,3530,1409,513,856,8,569,56,13,106,1547,1442,105,0.399150142,0.145325779
140,6,1,,,433104,Census Tract 4331.04,3760,1244,956,863,17,513,28,9,130,1903,1684,219,0.330851064,0.254255319
140,6,1,,,433200,Census Tract 4332,6897,1580,1664,1067,12,2296,36,12,230,2843,2730,113,0.229085109,0.241264318
140,6,1,,,433300,Census Tract 4333,6834,1707,1864,255,21,2698,38,9,242,2240,2155,85,0.249780509,0.272753878
140,6,1,,,433400,Census Tract 4334,6305,726,1409,634,11,3275,55,7,188,2333,2236,97,0.115146709,0.223473434
140,6,1,,,433500,Census Tract 4335,4352,1051,1406,173,9,1566,22,8,117,1425,1374,51,0.241498162,0.323069853
140,6,1,,,433600,Census Tract 4336,5978,1394,1526,543,6,2283,38,7,181,2164,2054,110,0.233188357,0.255269321
140,6,1,,,433700,Census Tract 4337,3182,1451,718,359,24,450,38,10,132,1076,1004,72,0.456002514,0.225644249
140,6,1,,,433800,Census Tract 4338,7369,2612,1226,1139,39,2066,69,15,203,2573,2426,147,0.354457864,0.166372642
140,6,1,,,433900,Census Tract 4339,6599,3128,652,1766,18,751,82,21,181,2352,2201,151,0.474011214,0.098802849
140,6,1,,,434000,Census Tract 4340,4884,2236,829,847,14,727,57,9,165,1795,1676,119,0.457821458,0.16973792
140,6,1,,,435102,Census Tract 4351.02,5179,791,1879,881,7,1252,53,12,304,1648,1568,80,0.152732188,0.362811354
140,6,1,,,435103,Census Tract 4351.03,6403,781,2349,496,5,2407,22,11,332,2130,2045,85,0.121974075,0.366859285
140,6,1,,,435104,Census Tract 4351.04,5216,1872,875,991,14,1101,123,7,233,2096,1923,173,0.358895706,0.167753067
140,6,1,,,435200,Census Tract 4352,4140,909,1239,1044,8,652,36,5,247,1429,1375,54,0.219565217,0.299275362
140,6,1,,,435300,Census Tract 4353,4479,1439,1223,1016,26,520,58,20,177,1738,1609,129,0.321277071,0.273052021
140,6,1,,,435400,Census Tract 4354,4503,1489,1183,880,27,672,56,10,186,2161,1934,227,0.330668443,0.262713746
140,6,1,,,435500,Census Tract 4355,3725,1558,1050,480,26,373,91,2,145,1515,1398,117,0.418255034,0.281879195
140,6,1,,,435601,Census Tract 4356.01,4902,2819,852,593,28,357,84,10,159,1611,1492,119,0.575071399,0.17380661
140,6,1,,,435602,Census Tract 4356.02,5329,2797,1268,525,21,495,101,8,114,1746,1648,98,0.524863952,0.237943329
140,6,1,,,435700,Census Tract 4357,4594,2069,1241,335,9,749,58,6,127,1527,1461,66,0.450370048,0.270134959
140,6,1,,,435800,Census Tract 4358,5382,2039,1604,248,18,1264,42,11,156,1666,1617,49,0.378855444,0.298030472
140,6,1,,,435900,Census Tract 4359,5073,1439,1863,222,8,1362,23,10,146,1696,1639,57,0.283658585,0.367238321
140,6,1,,,436000,Census Tract 4360,4557,1827,1680,136,18,730,20,11,135,1474,1436,38,0.400921659,0.368663594
140,6,1,,,436100,Census Tract 4361,5261,2111,1471,279,23,1127,53,16,181,1800,1733,67,0.401254514,0.279604638
140,6,1,,,436200,Census Tract 4362,3827,2068,640,595,15,309,76,9,115,1287,1216,71,0.540371048,0.167232819
140,6,1,,,436300,Census Tract 4363,7129,4016,938,906,18,927,90,8,226,2290,2152,138,0.563332866,0.131575256
140,6,1,,,436401,Census Tract 4364.01,7042,2014,2616,1038,39,843,146,14,332,3042,2734,308,0.285998296,0.371485373
140,6,1,,,436402,Census Tract 4364.02,2618,436,1363,330,14,345,7,6,117,1051,994,57,0.166539343,0.520626432
140,6,1,,,436500,Census Tract 4365,4583,1669,851,792,21,924,104,19,203,1843,1699,144,0.36417194,0.185686232
140,6,1,,,436601,Census Tract 4366.01,6091,3501,832,732,20,647,170,14,175,1937,1790,147,0.574782466,0.136594976
140,6,1,,,436602,Census Tract 4366.02,4571,2026,506,747,12,886,130,9,255,1718,1599,119,0.443229053,0.110697878
140,6,1,,,436700,Census Tract 4367,3284,1909,444,280,10,501,60,15,65,1050,1004,46,0.581303289,0.135200974
140,6,1,,,436800,Census Tract 4368,4027,1811,642,548,15,733,126,5,147,1366,1318,48,0.449714428,0.159423889
140,6,1,,,436900,Census Tract 4369,6724,4203,876,503,11,851,126,7,147,1926,1820,106,0.62507436,0.130279595
140,6,1,,,437000,Census Tract 4370,3473,1099,818,317,34,872,160,7,166,1269,1196,73,0.316441117,0.235531241
140,6,1,,,437101,Census Tract 4371.01,6448,1448,857,394,8,3241,190,13,297,1880,1812,68,0.224565757,0.132909429
140,6,1,,,437102,Census Tract 4371.02,4251,1350,541,415,18,1643,97,7,180,1465,1387,78,0.317572336,0.127264173
140,6,1,,,437200,Census Tract 4372,6755,1833,1537,810,21,2076,164,25,289,2435,2327,108,0.271354552,0.227535159
140,6,1,,,437300,Census Tract 4373,3111,1101,514,418,15,722,174,6,161,943,883,60,0.353905497,0.165220186
140,6,1,,,437400,Census Tract 4374,3408,1902,630,153,17,486,118,18,84,954,925,29,0.558098592,0.184859155
140,6,1,,,437500,Census Tract 4375,4528,2705,492,372,11,465,315,9,159,1189,1128,61,0.597393993,0.108657244
140,6,1,,,437600,Census Tract 4376,3217,1402,573,278,10,688,132,3,131,940,894,46,0.435809761,0.178116257
140,6,1,,,437701,Census Tract 4377.01,3649,2023,306,568,13,353,221,9,156,1107,1005,102,0.554398465,0.083858591
140,6,1,,,437702,Census Tract 4377.02,4256,2971,241,347,9,361,194,26,107,1111,1030,81,0.698073308,0.05662594
140,6,1,,,437800,Census Tract 4378,4621,1739,779,363,9,1288,252,11,180,1393,1307,86,0.376325471,0.16857823
140,6,1,,,437900,Census Tract 4379,2338,1407,274,158,12,283,123,2,79,708,666,42,0.601796407,0.117194183
140,6,1,,,438000,Census Tract 4380,3283,1075,1075,263,7,672,36,2,153,1124,1089,35,0.327444411,0.327444411
140,6,1,,,438100,Census Tract 4381,7675,3396,1503,610,27,1709,146,19,265,2185,2125,60,0.44247557,0.195830619
140,6,1,,,438201,Census Tract 4382.01,4540,2337,739,271,22,845,173,14,139,1245,1195,50,0.514757709,0.16277533
140,6,1,,,438203,Census Tract 4382.03,3920,980,741,253,10,1633,116,8,179,1263,1200,63,0.25,0.189030612
140,6,1,,,438204,Census Tract 4382.04,5368,1558,1256,469,7,1635,174,12,257,1925,1828,97,0.29023845,0.233979136
140,6,1,,,438300,Census Tract 4383,3731,1654,313,264,9,1086,222,8,175,924,877,47,0.443312785,0.083891718
140,6,1,,,438400,Census Tract 4384,2331,762,573,120,11,719,59,14,73,746,729,17,0.326898327,0.245817246
140,6,1,,,440100,Census Tract 4401,2310,379,830,217,2,754,21,4,103,1027,875,152,0.164069264,0.359307359
140,6,1,,,440200,Census Tract 4402,5989,4448,368,212,16,816,49,9,71,1492,1434,58,0.742694941,0.061445984
140,6,1,,,440301,Census Tract 4403.01,7312,2522,1296,417,15,2647,87,20,308,2195,2106,89,0.344912473,0.177242888
140,6,1,,,440304,Census Tract 4403.04,4674,599,579,291,13,2883,48,3,258,1316,1283,33,0.128155755,0.123876765
140,6,1,,,440305,Census Tract 4403.05,3883,629,603,302,4,2037,92,5,211,1023,1000,23,0.161988153,0.1552923
140,6,1,,,440306,Census Tract 4403.06,3841,423,323,344,4,2483,61,5,198,1036,987,49,0.110127571,0.084092684
140,6,1,,,440307,Census Tract 4403.07,4219,877,1083,294,8,1725,41,12,179,1626,1555,71,0.207869163,0.2566959
140,6,1,,,440308,Census Tract 4403.08,5883,1899,908,287,10,2425,96,16,242,2019,1951,68,0.322794493,0.154343022
140,6,1,,,440331,Census Tract 4403.31,3205,591,337,244,6,1785,73,4,165,942,899,43,0.184399376,0.105148206
140,6,1,,,440332,Census Tract 4403.32,3310,207,275,118,0,2531,31,12,136,872,866,6,0.062537764,0.083081571
140,6,1,,,440333,Census Tract 4403.33,2839,224,276,159,0,2025,27,1,127,828,799,29,0.078901021,0.09721733
140,6,1,,,440334,Census Tract 4403.34,4016,657,537,296,8,2227,55,9,227,1070,1045,25,0.163595618,0.133715139
140,6,1,,,440335,Census Tract 4403.35,6496,551,745,306,6,4458,44,22,364,2225,2172,53,0.084821429,0.114685961
140,6,1,,,440336,Census Tract 4403.36,4459,1065,804,356,9,1949,59,1,216,1480,1402,78,0.23884279,0.180309486
140,6,1,,,441100,Census Tract 4411,4308,728,2103,138,20,1102,11,9,197,1728,1635,93,0.168987929,0.48816156
140,6,1,,,441200,Census Tract 4412,6816,1135,2933,161,21,2172,31,17,346,2641,2496,145,0.166519953,0.430311033
140,6,1,,,441301,Census Tract 4413.01,3179,305,829,133,5,1706,32,5,164,1199,1163,36,0.09594212,0.260773828
140,6,1,,,441302,Census Tract 4413.02,5553,858,1884,203,10,2212,61,20,305,1855,1814,41,0.154511075,0.339276067
140,6,1,,,441401,Census Tract 4414.01,6931,1049,1672,375,10,3452,44,18,311,2346,2271,75,0.151349012,0.241235031
140,6,1,,,441402,Census Tract 4414.02,5233,584,1393,177,3,2656,26,6,388,1728,1694,34,0.111599465,0.266195299
140,6,1,,,441501,Census Tract 4415.01,6068,406,800,286,15,4085,45,15,416,1758,1718,40,0.066908372,0.131839156
140,6,1,,,441503,Census Tract 4415.03,5389,224,535,90,11,4332,12,4,181,2021,1819,202,0.041566153,0.099276304
140,6,1,,,441521,Census Tract 4415.21,5869,351,1048,189,7,3870,29,16,359,1800,1759,41,0.059805759,0.178565343
140,6,1,,,441522,Census Tract 4415.22,4980,692,885,249,6,2861,32,12,243,1457,1419,38,0.138955823,0.177710843
140,6,1,,,441523,Census Tract 4415.23,4077,253,462,97,12,3040,21,7,185,1402,1381,21,0.062055433,0.113318617
140,6,1,,,441524,Census Tract 4415.24,4010,159,429,90,8,3175,5,7,137,1332,1298,34,0.039650873,0.106982544
140,6,1,,,441601,Census Tract 4416.01,4561,1097,1592,182,8,1425,23,12,222,1451,1408,43,0.24051743,0.349046262
140,6,1,,,441602,Census Tract 4416.02,6802,1680,1847,373,13,2464,68,11,346,2330,2219,111,0.246986181,0.271537783
140,6,1,,,441700,Census Tract 4417,7436,1708,2042,388,29,2829,69,7,364,2762,2585,177,0.229693384,0.274610005
140,6,1,,,441800,Census Tract 4418,6786,1072,2301,246,14,2822,33,17,281,2413,2310,103,0.157972296,0.33908046
140,6,1,,,441921,Census Tract 4419.21,3663,989,986,138,12,1376,5,6,151,1295,1247,48,0.26999727,0.269178269
140,6,1,,,441923,Census Tract 4419.23,5605,953,1057,227,23,3021,35,14,275,2227,2037,190,0.170026762,0.188581624
140,6,1,,,441924,Census Tract 4419.24,7301,1003,1607,223,29,4060,20,8,351,2675,2569,106,0.137378441,0.220106835
140,6,1,,,441925,Census Tract 4419.25,6159,511,1336,271,14,3606,37,16,368,2919,2772,147,0.082968014,0.216918331
140,6,1,,,441926,Census Tract 4419.26,4080,1312,785,181,16,1529,9,5,243,1456,1376,80,0.321568627,0.192401961
140,6,1,,,441927,Census Tract 4419.27,4103,484,835,225,6,2323,41,7,182,1817,1723,94,0.117962466,0.203509627
140,6,1,,,442000,Census Tract 4420,3212,115,706,20,0,2229,5,7,130,1023,997,26,0.035803238,0.219800747
140,6,1,,,442100,Census Tract 4421,5166,141,1063,35,2,3810,3,0,112,1660,1628,32,0.027293844,0.205768486
140,6,1,,,442200,Census Tract 4422,6875,418,1802,96,8,4371,4,13,163,2161,2108,53,0.0608,0.262109091
140,6,1,,,442301,Census Tract 4423.01,4388,868,1408,156,12,1739,36,5,164,1461,1418,43,0.197812215,0.320875114
140,6,1,,,442302,Census Tract 4423.02,4788,1016,1154,384,17,1883,50,8,276,2050,1868,182,0.21219716,0.241019215
140,6,1,,,442400,Census Tract 4424,6253,1798,1943,191,15,2033,48,21,204,1977,1912,65,0.28754198,0.310730849
140,6,1,,,442500,Census Tract 4425,7371,1747,2118,233,20,2892,65,8,288,2239,2167,72,0.237009904,0.287342287
140,6,1,,,442601,Census Tract 4426.01,3844,722,1694,66,7,1208,9,3,135,1295,1263,32,0.187825182,0.440686785
140,6,1,,,442602,Census Tract 4426.02,5074,1226,2054,237,11,1198,33,13,302,1744,1659,85,0.241623965,0.404808829
140,6,1,,,442700,Census Tract 4427,2873,484,1530,47,5,638,7,18,144,1093,1046,47,0.168465019,0.532544379
140,6,1,,,442800,Census Tract 4428,2816,670,1004,82,4,924,17,6,109,943,909,34,0.237926136,0.356534091
140,6,1,,,442900,Census Tract 4429,7194,1376,2410,233,23,2733,51,6,362,2383,2303,80,0.191270503,0.33500139
140,6,1,,,443001,Census Tract 4430.01,2917,1025,826,88,7,888,8,7,68,818,795,23,0.351388413,0.283167638
140,6,1,,,443002,Census Tract 4430.02,5918,1366,1729,160,18,2400,29,15,201,1920,1820,100,0.230821223,0.292159513
140,6,1,,,443102,Census Tract 4431.02,4611,195,978,25,7,3267,1,5,133,1440,1410,30,0.042290176,0.212101496
140,6,1,,,443103,Census Tract 4431.03,4029,97,525,32,0,3285,0,3,87,1219,1166,53,0.024075453,0.130305287
140,6,1,,,443104,Census Tract 4431.04,5558,293,1142,60,4,3869,6,9,175,1757,1710,47,0.052716805,0.205469593
140,6,1,,,443105,Census Tract 4431.05,4456,124,756,19,0,3417,4,10,126,1392,1374,18,0.027827648,0.169658887
140,6,1,,,443200,Census Tract 4432,3704,113,852,29,0,2526,14,1,169,1194,1171,23,0.030507559,0.230021598
140,6,1,,,443301,Census Tract 4433.01,4074,275,1209,59,2,2375,15,2,137,1225,1207,18,0.067501227,0.296759941
140,6,1,,,443321,Census Tract 4433.21,3142,240,479,91,6,2226,10,0,90,1204,1155,49,0.076384468,0.152450668
140,6,1,,,443322,Census Tract 4433.22,2985,242,823,44,13,1735,5,4,119,937,923,14,0.081072027,0.275711893
140,6,1,,,444100,Census Tract 4441,7280,2100,2902,234,4,1564,102,28,346,2496,2424,72,0.288461538,0.398626374
140,6,1,,,444200,Census Tract 4442,6499,2320,1900,246,20,1595,119,10,289,1985,1927,58,0.356977997,0.29235267
140,6,1,,,444301,Census Tract 4443.01,3855,1304,1167,178,2,934,67,6,197,1169,1135,34,0.338261997,0.302723735
140,6,1,,,444302,Census Tract 4443.02,4354,2104,831,200,24,918,79,31,167,1260,1198,62,0.483233808,0.19085898
140,6,1,,,444400,Census Tract 4444,5114,2709,1040,193,9,957,68,2,136,1480,1431,49,0.529722331,0.203363316
140,6,1,,,444500,Census Tract 4445,6696,2672,1282,367,11,2011,84,8,261,1997,1937,60,0.399044205,0.191457587
140,6,1,,,444601,Census Tract 4446.01,4761,1250,1673,197,20,1379,61,7,174,1442,1406,36,0.262549884,0.351396765
140,6,1,,,444602,Census Tract 4446.02,4014,535,931,293,5,2046,21,9,174,1585,1514,71,0.133283508,0.231938216
140,6,1,,,450101,Census Tract 4501.01,4349,441,1673,277,10,1677,15,24,232,1956,1822,134,0.101402621,0.384686135
140,6,1,,,450102,Census Tract 4501.02,9434,2024,2442,2702,85,1788,147,15,231,1326,1251,75,0.214543142,0.258850965
140,6,1,,,450200,Census Tract 4502,4067,612,2253,188,2,786,29,9,188,2070,1923,147,0.150479469,0.553970986
140,6,1,,,450300,Census Tract 4503,4551,682,2667,161,12,765,27,18,219,1603,1547,56,0.149857174,0.586025049
140,6,1,,,450400,Census Tract 4504,5968,1257,3282,132,25,964,19,18,271,2103,2041,62,0.210623324,0.549932976
140,6,1,,,450501,Census Tract 4505.01,3129,373,2031,94,9,449,13,19,141,1281,1242,39,0.119207415,0.649089166
140,6,1,,,450502,Census Tract 4505.02,4185,417,2522,132,9,875,14,11,205,1554,1495,59,0.099641577,0.602628435
140,6,1,,,450601,Census Tract 4506.01,3379,234,2194,59,7,760,5,3,117,1347,1263,84,0.069251258,0.649304528
140,6,1,,,450602,Census Tract 4506.02,8722,785,5246,150,19,2126,35,22,339,3286,3190,96,0.090002293,0.601467553
140,6,1,,,450603,Census Tract 4506.03,4657,519,2984,55,16,873,12,12,186,1539,1515,24,0.111445136,0.640755851
140,6,1,,,450604,Census Tract 4506.04,4796,509,3494,45,14,567,6,1,160,1700,1670,30,0.106130108,0.72852377
140,6,1,,,450605,Census Tract 4506.05,3685,266,2819,39,1,453,7,1,99,1405,1361,44,0.072184532,0.764993216
140,6,1,,,450606,Census Tract 4506.06,5733,359,3810,65,11,1262,11,18,197,1973,1942,31,0.06261992,0.664573522
140,6,1,,,450607,Census Tract 4506.07,5251,1027,2900,100,12,1002,8,11,191,2367,2236,131,0.195581794,0.552275757
140,6,1,,,450701,Census Tract 4507.01,8075,536,5484,93,8,1637,2,18,297,2695,2605,90,0.066377709,0.679133127
140,6,1,,,450741,Census Tract 4507.41,4768,860,3040,89,20,587,4,9,159,1833,1764,69,0.180369128,0.637583893
140,6,1,,,450742,Census Tract 4507.42,4576,476,2998,59,7,861,7,10,158,1863,1781,82,0.104020979,0.655157343
140,6,1,,,450743,Census Tract 4507.43,4734,723,1473,158,13,2160,16,13,178,1983,1915,68,0.152724968,0.311153359
140,6,1,,,450744,Census Tract 4507.44,4831,435,2936,88,9,1135,8,17,203,1579,1553,26,0.090043469,0.607741668
140,6,1,,,450745,Census Tract 4507.45,5956,424,2644,93,2,2557,1,18,217,2063,1995,68,0.071188717,0.443922095
140,6,1,,,450746,Census Tract 4507.46,3152,285,2311,35,12,395,8,3,103,1245,1225,20,0.090418782,0.733185279
140,6,1,,,450750,Census Tract 4507.50,3618,417,1477,281,6,1192,6,10,229,1882,1697,185,0.115257048,0.408236595
140,6,1,,,450751,Census Tract 4507.51,2115,143,672,77,0,1135,4,8,76,723,656,67,0.067612293,0.317730496
140,6,1,,,450752,Census Tract 4507.52,5262,379,1763,187,9,2642,7,12,263,1589,1521,68,0.072025846,0.33504371
140,6,1,,,451101,Census Tract 4511.01,7081,1097,4504,189,20,946,34,21,270,2472,2324,148,0.154921621,0.636068352
140,6,1,,,451102,Census Tract 4511.02,4011,364,3097,35,11,366,2,11,125,1345,1322,23,0.090750436,0.772126652
140,6,1,,,451201,Census Tract 4512.01,6595,1189,4249,169,36,667,19,24,242,2593,2491,102,0.180288097,0.644275967
140,6,1,,,451202,Census Tract 4512.02,3634,748,2381,45,14,315,8,3,120,1326,1237,89,0.205833792,0.655200881
140,6,1,,,451300,Census Tract 4513,6560,1378,4404,115,19,387,19,11,227,2425,2357,68,0.210060976,0.671341463
140,6,1,,,451401,Census Tract 4514.01,5850,1299,3626,145,9,560,20,3,188,2327,2256,71,0.222051282,0.61982906
140,6,1,,,451403,Census Tract 4514.03,2220,581,1320,35,7,165,9,3,100,781,758,23,0.261711712,0.594594595
140,6,1,,,451404,Census Tract 4514.04,6610,3407,2432,104,28,439,18,15,167,2173,2063,110,0.515431165,0.367927383
140,6,1,,,451501,Census Tract 4515.01,4668,785,3153,106,4,451,4,9,156,1802,1752,50,0.168166238,0.675449871
140,6,1,,,451503,Census Tract 4515.03,5660,1228,3678,105,24,410,7,19,189,2151,2054,97,0.216961131,0.649823322
140,6,1,,,451504,Census Tract 4515.04,1509,257,1016,36,1,129,3,5,62,601,583,18,0.170311465,0.673293572
140,6,1,,,451505,Census Tract 4515.05,3337,348,2653,18,10,185,7,10,106,1155,1137,18,0.104285286,0.795025472
140,6,1,,,451506,Census Tract 4515.06,3138,1061,1604,126,14,197,6,10,120,1115,1073,42,0.338113448,0.511153601
140,6,1,,,451601,Census Tract 4516.01,4617,636,3467,66,8,272,9,8,151,1854,1757,97,0.137751787,0.750920511
140,6,1,,,451602,Census Tract 4516.02,6224,970,4598,101,15,335,23,24,158,2920,2727,193,0.155848329,0.738753213
140,6,1,,,451701,Census Tract 4517.01,3102,606,2103,41,13,180,22,7,130,1063,1026,37,0.195357834,0.67794971
140,6,1,,,451703,Census Tract 4517.03,3859,544,2678,66,7,406,15,7,136,1320,1294,26,0.140969163,0.693962166
140,6,1,,,451704,Census Tract 4517.04,4449,776,3142,69,13,284,5,17,143,1660,1610,50,0.174421218,0.706226118
140,6,1,,,981900,Census Tract 9819,38,4,24,4,0,4,0,0,2,26,22,4,0.105263158,0.631578947
140,6,1,,,982000,Census Tract 9820,71,11,46,3,1,9,0,0,1,37,33,4,0.154929577,0.647887324
140,6,1,,,983200,Census Tract 9832,540,58,289,75,3,94,1,0,20,404,287,117,0.107407407,0.535185185
140,6,1,,,990000,Census Tract 9900,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!
155,6,1,562,C1,,Alameda city,73812,8092,33468,4516,247,22822,342,278,4047,32351,30123,2228,0.10962987,0.453422208
155,6,1,674,C1,,Albany city,18539,1891,9136,621,44,5754,32,105,956,7889,7401,488,0.102001187,0.492798964
155,6,1,2980,U1,,Ashland CDP,21925,9394,3413,4085,95,3967,239,55,677,7758,7270,488,0.428460661,0.155667047
155,6,1,6000,C1,,Berkeley city,112580,12209,61539,10896,228,21499,170,503,5536,49454,46029,3425,0.108447326,0.546624622
155,6,1,11964,U1,,Castro Valley CDP,61388,10689,30398,4064,160,12975,374,148,2580,23392,22348,1044,0.174121978,0.495178211
155,6,1,12902,U1,,Cherryland CDP,14728,7955,3071,1585,62,1354,277,23,401,4975,4643,332,0.540127648,0.208514394
155,6,1,20018,C1,,Dublin city,46036,6663,20380,4214,164,12170,277,141,2027,15782,14913,869,0.144734556,0.44269702
155,6,1,22594,C1,,Emeryville city,10080,927,4057,1733,19,2756,16,44,528,6646,5694,952,0.091964286,0.402480159
155,6,1,23350,U1,,Fairview CDP,10003,2171,3618,2047,45,1484,114,23,501,3642,3490,152,0.21703489,0.361691493
155,6,1,26000,C1,,Fremont city,214089,31698,56766,6743,458,107679,1064,388,9293,73989,71004,2985,0.148059919,0.265151409
155,6,1,33000,C1,,Hayward city,144186,58730,27178,16297,492,31090,4290,352,5757,48296,45365,2931,0.407321099,0.188492641
155,6,1,41992,C1,,Livermore city,80968,16920,52397,1562,251,6643,231,202,2762,30342,29134,1208,0.208971446,0.6471322
155,6,1,50916,C1,,Newark city,42573,14994,11726,1908,95,11404,601,101,1744,13414,12972,442,0.352195053,0.275432786
155,6,1,53000,C1,,Oakland city,390724,99068,101308,106637,1214,65127,2081,1213,14076,169710,153791,15919,0.25354982,0.259282767
155,6,1,56938,C1,,Piedmont city,10667,421,7632,136,4,1924,11,55,484,3924,3801,123,0.039467517,0.715477641
155,6,1,57792,C1,,Pleasanton city,70285,7264,42738,1116,143,16209,125,153,2537,26053,25245,808,0.103350644,0.608067155
155,6,1,68084,C1,,San Leandro city,84950,23237,23006,10052,246,24924,596,198,2691,32419,30717,1702,0.273537375,0.270818128
155,6,1,68112,U1,,San Lorenzo CDP,23452,8843,7592,1062,73,4957,167,51,707,7674,7425,249,0.377068054,0.323725055
155,6,1,77042,U1,,Sunol CDP,913,91,719,1,3,48,5,1,45,394,362,32,0.099671413,0.787513691
155,6,1,81204,C1,,Union City city,69516,15895,10009,4194,116,35052,839,138,3273,21258,20433,825,0.228652397,0.143981242
50,6,3,,,,Alpine County,1175,84,852,0,210,7,0,1,21,1760,497,1263,0.071489362,0.725106383
140,6,3,,,10000,Census Tract 100,1175,84,852,0,210,7,0,1,21,1760,497,1263,0.071489362,0.725106383
155,6,3,1228,U1,,Alpine Village CDP,114,6,87,0,18,1,0,1,1,69,52,17,0.052631579,0.763157895
155,6,3,4716,U1,,Bear Valley CDP,121,1,118,0,0,1,0,0,1,531,67,464,0.008264463,0.975206612
155,6,3,45988,U1,,Markleeville CDP,210,11,187,0,4,2,0,0,6,194,100,94,0.052380952,0.89047619
155,6,3,47086,U1,,Mesa Vista CDP,200,11,172,0,11,2,0,0,4,103,83,20,0.055,0.86
50,6,5,,,,Amador County,38091,4756,30325,938,547,396,63,130,936,18032,14569,3463,0.124858891,0.796119818
140,6,5,,,101,Census Tract 1.01,3907,192,3523,11,59,21,12,5,84,2674,1823,851,0.049142565,0.901714871
140,6,5,,,102,Census Tract 1.02,1867,149,1624,0,31,19,1,2,41,1584,836,748,0.079807177,0.869844671
140,6,5,,,200,Census Tract 2,4672,386,4032,20,43,28,2,6,155,2499,2018,481,0.082619863,0.863013699
140,6,5,,,301,Census Tract 3.01,5871,1710,3031,811,80,72,16,91,60,775,680,95,0.291262136,0.516266394
140,6,5,,,303,Census Tract 3.03,5073,628,4059,16,92,86,8,3,181,2310,2064,246,0.123792628,0.800118273
140,6,5,,,304,Census Tract 3.04,3946,530,3191,6,65,25,13,2,114,1773,1550,223,0.134313229,0.808667005
140,6,5,,,401,Census Tract 4.01,5020,472,4224,19,85,81,6,7,126,2604,2270,334,0.094023904,0.841434263
140,6,5,,,402,Census Tract 4.02,4740,407,4080,43,54,39,5,5,107,2336,2016,320,0.085864979,0.860759494
140,6,5,,,500,Census Tract 5,2995,282,2561,12,38,25,0,9,68,1477,1312,165,0.094156928,0.85509182
155,6,5,1514,C1,,Amador City city,185,11,163,0,4,2,0,0,5,108,85,23,0.059459459,0.881081081
155,6,5,8680,U1,,Buckhorn CDP,2429,168,2153,6,34,23,4,5,36,1662,1138,524,0.069164265,0.886372993
155,6,5,8828,U1,,Buena Vista CDP,429,35,347,1,23,0,0,0,23,218,180,38,0.081585082,0.808857809
155,6,5,10042,U2,,Camanche North Shore CDP,979,150,778,3,10,9,2,1,26,480,391,89,0.153217569,0.794688458
