Income,Census Tract
62031.00,189102
33065.00,189201
93737.00,189202
145341.00,189300
91425.00,189400
58300.00,189500
56168.00,189600
77420.00,189701
69967.00,189702
50438.00,189800
51447.00,189902
47270.00,189903
43931.00,189904
38170.00,189905
32344.00,190100
20591.00,190201
31225.00,190202
32766.00,190301
35101.00,190401
18498.00,190402
29982.00,190510
21835.00,190520
30911.00,190700
24896.00,190801
30575.00,190802
37313.00,190901
30307.00,190902
33938.00,191000
21663.00,191110
33675.00,191120
24337.00,191201
28081.00,191203
31005.00,191204
43654.00,191301
46484.00,191302
29065.00,191410
32984.00,191420
32457.00,191500
44449.00,191610
37801.00,191620
26673.00,191710
33046.00,191720
28750.00,191810
33277.00,191820
52088.00,191901
83472.00,191902
47167.00,192001
74659.00,192002
54257.00,192300
55487.00,192410
41970.00,192420
35091.00,192510
32927.00,192520
34020.00,192610
33024.00,192620
29940.00,192700
70335.00,194101
131583.00,194102
122900.00,194200
142419.00,194300
69890.00,194401
86154.00,194402
95906.00,194500
95184.00,195100
59679.00,195201
120195.00,195202
51333.00,195300
67255.00,195400
76393.00,195500
57994.00,195600
29861.00,195710
32917.00,195720
40938.00,195802
51691.00,195803
49113.00,195804
39500.00,195901
51875.00,195902
42578.00,195903
43205.00,197200
45997.00,197300
51493.00,197410
41625.00,197420
43036.00,197500
44795.00,197600
30375.00,197700
25149.00,199000
34341.00,199110
26328.00,199120
31379.00,199201
31861.00,199202
49828.00,199300
30227.00,199400
35484.00,199700
36804.00,199800
23864.00,199900
44632.00,201110
50662.00,201120
45613.00,201200
34861.00,201301
75424.00,201302
41759.00,201401
44622.00,201402
48949.00,201501
31121.00,201503
43250.00,201504
48713.00,201601
48438.00,201602
50189.00,201700
24130.00,203100
40094.00,203200
32396.00,203300
39345.00,203500
28152.00,203600
36797.00,203710
31974.00,203720
34354.00,203800
41522.00,203900
38138.00,204110
46283.00,204120
25917.00,204200
26967.00,204300
28375.00,204410
31799.00,204420
34289.00,204600
28003.00,204700
35101.00,204810
43444.00,204820
36474.00,204910
39698.00,204920
28857.00,205110
25184.00,205120
14583.00,206010
102617.00,206020
43102.00,206031
23511.00,206032
21938.00,206050
19161.00,206200
8647.00,206300
18299.00,207101
12032.00,207102
18086.00,207103
12251.00,207301
21685.00,207302
-,207400
54122.00,207501
18859.00,207502
19149.00,207710
39009.00,207900
33688.00,208000
44917.00,208301
22720.00,208302
22471.00,208401
40243.00,208402
34613.00,208501
24012.00,208502
43042.00,208610
35678.00,208620
40000.00,208710
21335.00,208720
23950.00,208801
25893.00,208802
30256.00,208902
22255.00,208903
20716.00,208904
17519.00,209102
17119.00,209103
21101.00,209104
23549.00,209200
24961.00,209300
22488.00,209401
23266.00,209402
18867.00,209403
27276.00,209510
31941.00,209520
24381.00,209810
26645.00,209820
16421.00,210010
129500.00,211000
41369.00,211120
47574.00,211121
37553.00,211122
33617.00,211201
32826.00,211202
29883.00,211310
