Income,Census Tract
"80,817",183220
"85,450",183221
"93,839",183222
"75,048",183300
"68,182",183401
"63,618",183402
"77,292",183510
"56,104",183520
"65,724",183610
"75,083",183620
"65,313",183701
"86,719",183702
"61,250",183810
"58,100",183820
"88,400",185101
"145,088",185102
"90,529",185202
"70,096",185203
"90,000",185204
"67,076",185310
"51,042",185320
"100,074",186100
"72,875",186201
"83,836",186202
"115,074",186203
"64,018",186301
"90,694",186302
"45,833",186401
"64,412",186403
"62,264",186404
"84,531",187101
"67,617",187102
"79,327",187200
"97,813",187300
"57,350",188100
"88,786",188201
"119,176",188202
"111,489",188300
"92,404",189101
"95,000",189102
"48,103",189201
"122,188",189202
"156,827",189300
"156,161",189400
"66,071",189501
"55,694",189502
"67,425",189600
"79,536",189702
"106,970",189703
"108,430",189704
"80,663",189801
"64,489",189802
"85,745",189903
"58,594",189904
"72,471",189905
"70,868",189906
"69,489",189907
"34,313",190101
"59,632",190102
"31,403",190201
"40,723",190202
"65,976",190302
"38,553",190303
"49,132",190401
"45,758",190402
"47,180",190510
"43,688",190520
"36,183",190701
"60,150",190702
"26,488",190801
"61,612",190802
"39,435",190901
"50,417",190902
"71,621",191000
"41,211",191110
"34,189",191120
"41,288",191201
"29,444",191203
"40,962",191204
"49,405",191301
"50,469",191302
"46,373",191410
"65,230",191420
"57,148",191500
"48,750",191610
"30,052",191620
"27,254",191710
"33,106",191720
"48,584",191810
"65,469",191820
"51,391",191901
"89,583",191902
"73,322",192001
"120,475",192002
"84,924",192300
"87,302",192410
"58,784",192420
"54,688",192510
"48,110",192520
"44,045",192610
"41,553",192620
"50,430",192700
"92,434",194101
"100,515",194102
"190,671",194200
"228,836",194300
"89,657",194401
"83,485",194402
"105,959",194500
"131,745",195100
"96,696",195201
"126,458",195202
"77,525",195300
"101,149",195400
"97,610",195500
"53,145",195600
"60,359",195710
"51,518",195720
"59,464",195802
"85,234",195803
"54,459",195804
"64,821",195901
"103,438",195902
"60,313",195903
"62,612",197200
"86,326",197300
"86,414",197410
"83,400",197420
"75,276",197500
"77,308",197600
"52,250",197700
"50,679",199001
"62,390",199002
"62,837",199110
"33,750",199120
"51,250",199201
"55,799",199202
"102,000",199300
"49,449",199400
"38,892",199700
"41,027",199801
"42,500",199802
"37,232",199900
"65,000",201110
"78,750",201120
"49,500",201200
"66,658",201301
"102,654",201302
"53,050",201401
"54,137",201402
"69,153",201501
"50,344",201503
"59,167",201504
"47,465",201601
"65,625",201602
"64,844",201700
"39,329",203100
"57,031",203200
"41,250",203300
"40,524",203500
"50,345",203601
"53,333",203602
"60,978",203710
"48,684",203720
"45,000",203800
"59,479",203900
"59,067",204110
"60,441",204120
"38,919",204200
"51,359",204300
"63,214",204410
"32,993",204420
"33,587",204600
"59,735",204700
"46,964",204810
"49,375",204820
"40,313",204910
"59,345",204920
"47,194",205110
"29,804",205120
"41,395",206010
"105,972",206020
"35,795",206050
"119,453",206051
"99,241",206052
"28,693",206053
"39,647",206054
"38,786",206201
"12,344",206202
"11,153",206301
"7,193",206302
"4,918",206303
"51,544",207101
"30,564",207102
"33,487",207103
"39,113",207303
"11,430",207304
"72,330",207305
"38,305",207306
"12,283",207307
"93,226",207308
"93,036",207400
"71,628",207501
"17,989",207502
"121,477",207711
"77,213",207712
"68,333",207901
"106,206",207902
"73,553",208001
"37,443",208002
"50,054",208301
"45,194",208302
"44,943",208401
"50,446",208402
"62,750",208501
"42,129",208502
"58,125",208610
